strategy,n_years,hit_counter,total_counter,percentage
strategy_11,12.0,1248.0,1805.0,0.6914127423822715
strategy_12,12.0,1260.0,1805.0,0.6980609418282548
strategy_13,12.0,1305.0,1805.0,0.7229916897506925
strategy_14,12.0,1291.0,1805.0,0.7152354570637119
strategy_15,12.0,1266.0,1805.0,0.7013850415512466
strategy_16,12.0,1261.0,1805.0,0.6986149584487534
strategy_17,12.0,1304.0,1805.0,0.7224376731301939
strategy_18,12.0,1296.0,1805.0,0.718005540166205
strategy_19,12.0,1305.0,1805.0,0.7229916897506925
strategy_20,12.0,1335.0,1805.0,0.739612188365651
strategy_21,12.0,1378.0,1805.0,0.7634349030470914
strategy_22,12.0,1349.0,1805.0,0.7473684210526316
