,2005_hit_counter,2005_hit_total,2005_percentage,2006_hit_counter,2006_hit_total,2006_percentage,2007_hit_counter,2007_hit_total,2007_percentage,2008_hit_counter,2008_hit_total,2008_percentage,2009_hit_counter,2009_hit_total,2009_percentage,2010_hit_counter,2010_hit_total,2010_percentage,2011_hit_counter,2011_hit_total,2011_percentage,2012_hit_counter,2012_hit_total,2012_percentage,2013_hit_counter,2013_hit_total,2013_percentage,2014_hit_counter,2014_hit_total,2014_percentage,2015_hit_counter,2015_hit_total,2015_percentage,2016_hit_counter,2016_hit_total,2016_percentage
strategy_11,105.0,150.0,0.7,95.0,150.0,0.6333333333333333,110.0,151.0,0.7284768211920529,113.0,154.0,0.7337662337662337,107.0,151.0,0.7086092715231788,98.0,150.0,0.6533333333333333,107.0,149.0,0.7181208053691275,100.0,151.0,0.6622516556291391,112.0,150.0,0.7466666666666667,107.0,151.0,0.7086092715231788,91.0,149.0,0.610738255033557,103.0,149.0,0.6912751677852349
strategy_12,111.0,150.0,0.74,93.0,150.0,0.62,108.0,151.0,0.7152317880794702,111.0,154.0,0.7207792207792207,113.0,151.0,0.7483443708609272,100.0,150.0,0.6666666666666666,112.0,149.0,0.7516778523489933,103.0,151.0,0.6821192052980133,110.0,150.0,0.7333333333333333,106.0,151.0,0.7019867549668874,95.0,149.0,0.6375838926174496,98.0,149.0,0.6577181208053692
strategy_13,107.0,150.0,0.7133333333333334,104.0,150.0,0.6933333333333334,114.0,151.0,0.7549668874172185,113.0,154.0,0.7337662337662337,116.0,151.0,0.7682119205298014,107.0,150.0,0.7133333333333334,108.0,149.0,0.7248322147651006,112.0,151.0,0.7417218543046358,102.0,150.0,0.68,105.0,151.0,0.695364238410596,102.0,149.0,0.6845637583892618,115.0,149.0,0.7718120805369127
strategy_14,107.0,150.0,0.7133333333333334,111.0,150.0,0.74,104.0,151.0,0.6887417218543046,113.0,154.0,0.7337662337662337,115.0,151.0,0.7615894039735099,113.0,150.0,0.7533333333333333,103.0,149.0,0.6912751677852349,102.0,151.0,0.6754966887417219,103.0,150.0,0.6866666666666666,112.0,151.0,0.7417218543046358,109.0,149.0,0.7315436241610739,99.0,149.0,0.6644295302013423
strategy_15,105.0,150.0,0.7,110.0,150.0,0.7333333333333333,113.0,151.0,0.7483443708609272,108.0,154.0,0.7012987012987013,108.0,151.0,0.7152317880794702,98.0,150.0,0.6533333333333333,117.0,149.0,0.785234899328859,108.0,151.0,0.7152317880794702,105.0,150.0,0.7,90.0,151.0,0.5960264900662252,98.0,149.0,0.6577181208053692,106.0,149.0,0.7114093959731543
strategy_16,109.0,150.0,0.7266666666666667,103.0,150.0,0.6866666666666666,107.0,151.0,0.7086092715231788,107.0,154.0,0.6948051948051948,105.0,151.0,0.695364238410596,101.0,150.0,0.6733333333333333,109.0,149.0,0.7315436241610739,113.0,151.0,0.7483443708609272,100.0,150.0,0.6666666666666666,92.0,151.0,0.609271523178808,107.0,149.0,0.7181208053691275,108.0,149.0,0.7248322147651006
strategy_17,113.0,150.0,0.7533333333333333,107.0,150.0,0.7133333333333334,117.0,151.0,0.7748344370860927,112.0,154.0,0.7272727272727273,113.0,151.0,0.7483443708609272,106.0,150.0,0.7066666666666667,110.0,149.0,0.738255033557047,120.0,151.0,0.7947019867549668,101.0,150.0,0.6733333333333333,89.0,151.0,0.5894039735099338,109.0,149.0,0.7315436241610739,107.0,149.0,0.7181208053691275
strategy_18,106.0,150.0,0.7066666666666667,101.0,150.0,0.6733333333333333,106.0,151.0,0.7019867549668874,107.0,154.0,0.6948051948051948,122.0,151.0,0.8079470198675497,107.0,150.0,0.7133333333333334,114.0,149.0,0.7651006711409396,105.0,151.0,0.695364238410596,107.0,150.0,0.7133333333333334,106.0,151.0,0.7019867549668874,108.0,149.0,0.7248322147651006,107.0,149.0,0.7181208053691275
strategy_19,113.0,150.0,0.7533333333333333,106.0,150.0,0.7066666666666667,111.0,151.0,0.7350993377483444,111.0,154.0,0.7207792207792207,109.0,151.0,0.7218543046357616,116.0,150.0,0.7733333333333333,107.0,149.0,0.7181208053691275,113.0,151.0,0.7483443708609272,102.0,150.0,0.68,107.0,151.0,0.7086092715231788,103.0,149.0,0.6912751677852349,107.0,149.0,0.7181208053691275
strategy_20,111.0,150.0,0.74,116.0,150.0,0.7733333333333333,111.0,151.0,0.7350993377483444,119.0,154.0,0.7727272727272727,113.0,151.0,0.7483443708609272,117.0,150.0,0.78,110.0,149.0,0.738255033557047,112.0,151.0,0.7417218543046358,107.0,150.0,0.7133333333333334,103.0,151.0,0.6821192052980133,110.0,149.0,0.738255033557047,106.0,149.0,0.7114093959731543
strategy_21,117.0,150.0,0.78,113.0,150.0,0.7533333333333333,122.0,151.0,0.8079470198675497,121.0,154.0,0.7857142857142857,122.0,151.0,0.8079470198675497,114.0,150.0,0.76,116.0,149.0,0.7785234899328859,119.0,151.0,0.7880794701986755,107.0,150.0,0.7133333333333334,109.0,151.0,0.7218543046357616,109.0,149.0,0.7315436241610739,109.0,149.0,0.7315436241610739
strategy_22,126.0,150.0,0.84,122.0,150.0,0.8133333333333334,111.0,151.0,0.7350993377483444,111.0,154.0,0.7207792207792207,114.0,151.0,0.7549668874172185,105.0,150.0,0.7,113.0,149.0,0.7583892617449665,112.0,151.0,0.7417218543046358,102.0,150.0,0.68,108.0,151.0,0.7152317880794702,112.0,149.0,0.7516778523489933,113.0,149.0,0.7583892617449665
